,State_2004,Party_2004,Electors_2004,Votes_2004,Turnout_2004,Margin_2004,Margin %_2004,State_2009,Party_2009,Electors_2009,Votes_2009,Turnout_2009,Margin_2009,Margin %_2009,State_2014,Party_2014,Electors_2014,Votes_2014,Turnout_2014,Margin_2014,Margin %_2014,State_2019,Party_2019,Electors_2019,Votes_2019,Turnout_2019,Margin_2019,Margin %_2019,State_2024,Party_2024,Electors_2024,Votes_2024,Turnout_2024,Margin_2024,Margin %_2024
Diamond Harbour,4,10,1102946.0,835475.0,75.8,153784.0,18.4,4,32,1302398.0,1054561.0,81.0,151689.0,14.4,4,32,1555914.0,1261296.0,81.1,71298.0,5.7,4,32,1873955.0,1409002.0,76.1,320594.0,22.8,4,32,1880779.0,1530817.0,81.4,710930.0,46.4
Dharwad South,13,2,1204353.0,865016.0,71.8,145112.0,16.8,13,2,1411500.0,798496.0,56.6,137663.0,17.2,13,2,1579024.0,1041226.0,65.9,113657.0,10.9,13,2,1687290.0,1213505.0,72.1,205072.0,16.9,13,2,1831975.0,1366491.0,74.6,97324.0,7.1
Davangere,13,2,1332608.0,908840.0,68.2,32676.0,3.6,13,2,1344920.0,907281.0,67.5,2024.0,0.2,13,2,1522712.0,1114868.0,73.2,17607.0,1.6,13,2,1613781.0,1194586.0,74.2,169702.0,14.2,13,4,1709244.0,1320368.0,77.3,26094.0,2.0
Daman & Diu,28,4,79232.0,55590.0,70.2,607.0,1.1,28,2,95382.0,68023.0,71.3,24838.0,36.5,28,2,111827.0,87233.0,78.0,9222.0,10.6,28,2,111827.0,87469.0,79.6,9942.0,11.4,28,7,134189.0,92410.0,68.9,6225.0,6.7
Dadra & Nagar Haveli,29,33,122681.0,84699.0,69.0,12893.0,15.2,29,2,150704.0,110363.0,73.2,618.0,0.6,29,2,196617.0,165286.0,84.1,6214.0,3.8,29,7,196617.0,198983.0,102.7,9001.0,4.5,29,2,283024.0,205588.0,72.6,57584.0,28.0
Chikballapur,13,4,1314311.0,929379.0,70.7,60022.0,6.5,13,4,1437155.0,978715.0,68.1,51381.0,5.2,13,4,1658342.0,1263274.0,76.2,9520.0,0.8,13,2,1804143.0,1386963.0,77.3,182110.0,13.1,13,2,1981347.0,1530820.0,77.3,163460.0,10.7
Burdwan - Durgapur,4,10,1221820.0,994003.0,81.4,471351.0,47.4,4,10,1353380.0,1136226.0,84.0,108237.0,9.5,4,32,1583498.0,1331242.0,84.1,107331.0,8.1,4,2,1905750.0,1433007.0,76.2,2439.0,0.2,4,32,1851780.0,1501773.0,81.1,137981.0,9.2
Bhatinda,8,22,1285978.0,763164.0,59.4,62642.0,8.2,8,22,1336790.0,1048144.0,78.4,120948.0,11.5,8,22,1525289.0,1176767.0,77.2,19395.0,1.6,8,22,1589895.0,1200810.0,76.4,21772.0,1.8,8,22,1651188.0,1151170.0,69.7,49656.0,4.3
Barabanki,1,3,1214993.0,540219.0,44.5,20922.0,3.9,1,4,1422218.0,743415.0,52.3,167913.0,22.6,1,2,1721282.0,1068168.0,62.1,211878.0,19.8,1,2,1762832.0,1155341.0,66.0,110140.0,9.5,1,4,1918491.0,1290634.0,67.3,215704.0,16.7
Bangalore North,13,2,2133579.0,1157337.0,54.2,30358.0,2.6,13,2,2144091.0,1001678.0,46.7,59665.0,6.0,13,2,2401472.0,1356718.0,56.5,229764.0,16.9,13,2,2819424.0,1559459.0,55.7,147518.0,9.5,13,2,3214496.0,1752504.0,54.5,259476.0,14.8
Bangalore South,13,2,1620352.0,800632.0,49.4,62271.0,7.8,13,2,2031030.0,908751.0,44.7,37612.0,4.1,13,2,1999882.0,1113726.0,55.7,228575.0,20.5,13,2,2175375.0,1188491.0,55.1,331192.0,27.9,13,2,2341759.0,1249342.0,53.4,277083.0,22.2
Bahraich,1,1,1423646.0,549535.0,38.6,26334.0,4.8,1,4,1246823.0,512702.0,41.1,38953.0,7.6,1,2,1638645.0,934263.0,57.0,95645.0,10.2,1,2,1686646.0,989848.0,59.5,128752.0,13.0,1,2,1838684.0,1056566.0,57.5,64227.0,6.1
Baharampur,4,4,1220502.0,987380.0,80.9,98901.0,10.0,4,4,1179938.0,953789.0,80.8,186977.0,19.6,4,4,1453783.0,1154587.0,79.4,356567.0,30.9,4,4,1746812.0,1299997.0,75.2,80696.0,6.2,4,32,1783078.0,1384770.0,77.7,85022.0,6.1
Sonipat,6,2,1138771.0,736510.0,64.7,7569.0,1.0,6,4,1099978.0,712449.0,64.8,161284.0,22.6,6,2,1417188.0,985637.0,69.6,77414.0,7.9,6,2,1493894.0,1129532.0,75.8,164864.0,14.6,6,4,1766624.0,1123944.0,63.6,21816.0,1.9
Shimla,22,4,1018988.0,525998.0,51.6,108180.0,20.6,22,2,1106608.0,616777.0,55.7,27327.0,4.4,22,2,1153363.0,737757.0,64.0,84187.0,11.4,22,2,1153363.0,913608.0,79.9,327515.0,35.8,22,2,1346369.0,969965.0,72.0,91451.0,9.4
Secundrabad,0,4,1850694.0,973226.0,52.6,68758.0,7.1,0,4,1574818.0,865489.0,55.0,170167.0,19.7,31,2,1893647.0,1003769.0,53.0,254735.0,25.4,31,2,1890049.0,915106.0,48.9,62114.0,6.8,31,2,2120401.0,1047659.0,49.4,49944.0,4.8
Ratnagiri - Sindhudurg,3,6,914770.0,560620.0,61.3,148968.0,26.6,3,4,1252255.0,719855.0,57.5,46750.0,6.5,3,6,1367361.0,896256.0,65.6,150051.0,16.7,3,6,1393965.0,901102.0,65.6,178322.0,19.8,3,2,1451630.0,914038.0,63.0,47858.0,5.2
Puducherry,30,9,636667.0,484316.0,76.1,69181.0,14.3,30,4,762440.0,608533.0,79.8,91772.0,15.1,30,50,901357.0,740017.0,82.1,60854.0,8.2,30,4,969845.0,790760.0,82.8,197025.0,24.9,30,4,1023699.0,807940.0,78.9,136516.0,16.9
Peddapalli,0,4,1386543.0,938802.0,67.7,263135.0,28.0,0,4,1315642.0,904183.0,68.7,49017.0,5.4,31,0,1425361.0,1022184.0,71.7,291158.0,28.5,31,0,1368475.0,970051.0,71.5,95180.0,9.8,31,4,1596430.0,1095295.0,68.6,131364.0,12.0
Palghat,20,10,1113144.0,818860.0,73.6,98158.0,12.0,3,40,1523061.0,732599.0,48.1,12360.0,1.7,3,2,1578077.0,992618.0,62.9,239520.0,24.1,3,6,1727531.0,1201941.0,71.3,88883.0,7.4,3,2,2148514.0,1376074.0,64.1,183306.0,13.3
Nainital-Udhamsingh Nagar,5,4,1261688.0,616560.0,48.9,49184.0,8.0,5,4,1284092.0,753947.0,58.7,88412.0,11.7,5,2,1610810.0,1101435.0,68.4,284717.0,25.8,5,2,1754749.0,1258570.0,72.3,339096.0,26.9,5,2,2015809.0,1266016.0,62.8,334548.0,26.4
Mayiladuthurai,9,4,1022018.0,693551.0,67.9,195691.0,28.2,9,36,1091519.0,800627.0,73.4,36854.0,4.6,9,36,1350318.0,1025538.0,76.0,277050.0,27.0,9,19,1466813.0,1097243.0,75.4,261314.0,23.8,9,4,1545568.0,1087708.0,70.4,271183.0,24.9
