,State_2004,Party_2004,Electors_2004,Votes_2004,Turnout_2004,Margin_2004,Margin %_2004,State_2009,Party_2009,Electors_2009,Votes_2009,Turnout_2009,Margin_2009,Margin %_2009,State_2014,Party_2014,Electors_2014,Votes_2014,Turnout_2014,Margin_2014,Margin %_2014,State_2019,Party_2019,Electors_2019,Votes_2019,Turnout_2019,Margin_2019,Margin %_2019,State_2024,Party_2024,Electors_2024,Votes_2024,Turnout_2024,Margin_2024,Margin %_2024
Amravati,3,6,1204881.0,675653.0,56.1,14234.0,2.1,3,6,1423855.0,732573.0,51.5,61716.0,8.4,3,6,1611365.0,1004061.0,62.3,137932.0,13.7,3,7,1752097.0,1112385.0,63.8,36951.0,3.3,3,4,1836078.0,1173579.0,63.9,19731.0,1.7
Amreli,7,4,1025515.0,475548.0,46.4,2030.0,0.4,7,2,1312733.0,524642.0,40.0,37317.0,7.1,7,2,1486286.0,808816.0,54.4,156232.0,19.3,7,2,1602346.0,909167.0,57.8,201431.0,22.2,7,2,1732810.0,876426.0,50.6,321068.0,36.6
Amritsar,8,2,1292902.0,711808.0,55.1,109532.0,15.4,8,2,1241099.0,814503.0,65.6,6858.0,0.8,8,4,1477262.0,1007196.0,68.2,102770.0,10.2,8,4,1468972.0,859513.0,59.1,99626.0,11.6,8,4,1611263.0,905656.0,56.2,40301.0,4.4
Amroha,1,7,1342541.0,885155.0,65.9,17884.0,2.0,1,13,1173915.0,706599.0,60.2,92083.0,13.0,1,2,1544242.0,1095860.0,71.0,158214.0,14.4,1,3,1596897.0,1169182.0,73.6,63248.0,5.4,1,2,1716641.0,1110690.0,64.7,28670.0,2.6
Anand,7,4,1145550.0,591698.0,51.7,61085.0,10.3,7,4,1397162.0,676072.0,48.4,67318.0,10.0,7,2,1496859.0,970894.0,64.9,63426.0,6.5,7,2,1614307.0,1108661.0,69.8,197718.0,17.8,7,2,1780182.0,1167969.0,65.6,89939.0,7.7
Aonla,1,8,1145865.0,536458.0,46.8,6871.0,1.3,1,2,1310878.0,704611.0,53.8,7681.0,1.1,1,2,1653577.0,995641.0,60.2,138429.0,13.9,1,2,1750190.0,1052795.0,60.7,113743.0,10.8,1,1,1891713.0,1088896.0,57.6,15969.0,1.5
Arakkonam,9,9,1160259.0,773529.0,66.7,102196.0,13.2,9,19,1098607.0,854683.0,77.8,109796.0,12.8,9,36,1401545.0,1089052.0,77.7,240766.0,22.1,9,19,1461110.0,1178060.0,81.5,328956.0,27.9,9,58,1562871.0,1163822.0,74.5,306559.0,26.3
Arambagh,4,10,1187610.0,961186.0,80.9,592502.0,61.6,4,10,1375377.0,1163581.0,84.6,201558.0,17.3,4,32,1600293.0,1361934.0,85.1,346845.0,25.5,4,32,1631133.0,1471981.0,91.5,1142.0,0.1,4,32,1883266.0,1559079.0,82.8,6399.0,0.4
Araria,10,2,1184962.0,652439.0,55.1,27744.0,4.3,10,2,1311225.0,730459.0,55.7,22502.0,3.1,10,11,1587348.0,975811.0,61.5,146504.0,15.0,10,2,1469717.0,1169630.0,81.0,137241.0,11.7,10,2,2018767.0,1252560.0,62.1,20094.0,1.6
Arrah,10,11,1360794.0,787780.0,57.9,149743.0,19.0,10,8,1555122.0,556364.0,35.8,74720.0,13.4,10,2,1832332.0,893213.0,48.8,135870.0,15.2,10,2,2055316.0,1080684.0,53.6,147285.0,13.6,10,59,2165574.0,1096561.0,50.6,59808.0,5.5
Arunachal East,11,2,289606.0,162704.0,56.2,44994.0,27.7,11,4,301173.0,214930.0,71.4,68449.0,31.8,11,4,312872.0,261291.0,83.5,12478.0,4.8,11,2,335682.0,293781.0,89.2,69948.0,23.8,11,2,375310.0,323443.0,86.2,30421.0,9.4
Arunachal West,11,2,394428.0,220618.0,55.9,47424.0,21.5,11,4,433368.0,285666.0,65.9,1314.0,0.5,11,2,446515.0,335665.0,75.2,41738.0,12.4,11,2,458680.0,358310.0,78.5,174843.0,48.8,11,2,517384.0,399804.0,77.3,100738.0,25.2
Asansol,4,10,1092141.0,724790.0,66.4,124318.0,17.2,4,10,1250052.0,893860.0,71.5,72956.0,8.2,4,2,1469684.0,1142395.0,77.7,70480.0,6.2,4,2,1770467.0,1238135.0,70.8,197637.0,16.0,4,32,1770281.0,1301540.0,73.5,59564.0,4.6
Aska,12,12,1254942.0,682598.0,54.4,132602.0,19.4,12,12,1286194.0,701795.0,54.6,232834.0,33.2,12,12,1408780.0,896281.0,63.6,311997.0,34.8,12,12,1494153.0,1013862.0,69.0,204707.0,20.2,12,2,1620974.0,1017914.0,62.8,99974.0,9.8
Azamgarh,1,3,1425023.0,711356.0,49.9,6968.0,1.0,1,2,1578854.0,705508.0,44.7,49039.0,7.0,1,1,1703222.0,960218.0,56.4,63204.0,6.6,1,1,1773820.0,1029112.0,58.4,259874.0,25.3,1,1,1868165.0,1054520.0,56.5,161035.0,15.3
Bagalkot,13,2,1324829.0,866238.0,65.4,167383.0,19.3,13,2,1363359.0,859976.0,63.1,35446.0,4.1,13,2,1568620.0,1079310.0,68.8,116560.0,10.8,13,2,1688394.0,1204613.0,72.0,168187.0,14.0,13,2,1806183.0,1317561.0,73.0,68399.0,5.2
Baghpat,1,13,1570374.0,656864.0,41.8,220638.0,33.6,1,13,1280602.0,613758.0,47.9,63027.0,10.3,1,2,1505175.0,1004263.0,66.7,209866.0,20.9,1,2,1558020.0,1044894.0,67.4,23502.0,2.2,1,13,1653146.0,933773.0,56.5,159459.0,17.1
Balaghat,14,2,1000341.0,608869.0,60.9,88089.0,14.5,14,2,1339239.0,756832.0,56.5,40819.0,5.4,14,2,1629769.0,1113364.0,68.3,96041.0,8.6,14,2,1725505.0,1372018.0,79.8,242066.0,17.6,14,2,1873653.0,1382280.0,73.8,174512.0,12.6
Balasore,12,2,1330406.0,948450.0,71.3,236955.0,25.0,12,4,1269342.0,892345.0,70.3,38900.0,4.4,12,12,1366218.0,1049450.0,76.8,141825.0,13.5,12,2,1471650.0,1157871.0,79.2,12956.0,1.1,12,2,1608014.0,1239635.0,77.1,147156.0,11.9
Ballia,1,14,1430300.0,619531.0,43.3,81054.0,13.1,1,1,1679029.0,677426.0,40.4,72555.0,10.7,1,2,1768271.0,942211.0,53.3,139434.0,14.8,1,2,1792821.0,989732.0,55.7,15519.0,1.6,1,1,1923645.0,1007322.0,52.4,43384.0,4.3
Balurghat,4,5,1129369.0,920808.0,81.5,71146.0,7.7,4,5,1010224.0,876355.0,86.8,5105.0,0.6,4,32,1254497.0,1063053.0,84.7,106964.0,10.1,4,2,1543162.0,1197849.0,78.5,33293.0,2.8,4,2,1561966.0,1237308.0,79.2,10386.0,0.8
Banaskantha,7,4,1311847.0,642570.0,49.0,6928.0,1.1,7,4,1296871.0,646305.0,49.8,10301.0,1.6,7,2,1515711.0,886634.0,58.5,202334.0,22.8,7,2,1512076.0,1102081.0,73.7,368296.0,33.4,7,4,1961924.0,1375903.0,70.1,30406.0,2.2
Banda,1,1,1283915.0,526286.0,41.0,56304.0,10.7,1,1,1386265.0,619203.0,44.7,34593.0,5.6,1,2,1601917.0,858326.0,53.6,115788.0,13.5,1,2,1659357.0,1034549.0,63.5,58938.0,5.7,1,1,1747425.0,1044132.0,59.8,71210.0,6.8
Banka,10,11,1213614.0,713888.0,58.8,4669.0,0.7,10,7,1338025.0,652097.0,48.7,28716.0,4.4,10,11,1549456.0,899353.0,58.0,10144.0,1.1,10,8,1687940.0,995806.0,59.4,200532.0,20.1,10,8,1856566.0,1014155.0,54.6,103844.0,10.2
Bankura,4,10,1020046.0,691958.0,67.8,230329.0,33.3,4,10,1268563.0,985847.0,77.7,107802.0,10.9,4,32,1503812.0,1236319.0,82.2,98506.0,8.0,4,2,1770248.0,1371855.0,78.3,174333.0,12.7,4,32,1780580.0,1447674.0,81.3,32778.0,2.3
Bansgaon,1,4,1441224.0,632098.0,43.9,16441.0,2.6,1,2,1663648.0,649218.0,39.0,52787.0,8.1,1,2,1760110.0,877877.0,49.9,189516.0,21.6,1,2,1748683.0,969136.0,56.2,153468.0,15.8,1,2,1820854.0,944763.0,51.9,3150.0,0.3
Banswara,2,2,1373808.0,665376.0,48.4,21683.0,3.3,2,4,1457980.0,769532.0,52.8,199418.0,25.9,2,2,1692502.0,1171188.0,69.2,91916.0,7.8,2,2,1920325.0,1439671.0,76.5,305464.0,21.2,2,60,2200438.0,1636852.0,74.4,247054.0,15.1
Baramati,3,15,1846635.0,892726.0,48.3,422975.0,47.4,3,15,1593460.0,734048.0,46.1,336831.0,45.9,3,15,1813543.0,1066556.0,58.8,69719.0,6.5,3,15,2025795.0,1304728.0,64.8,155774.0,11.9,3,61,2372668.0,1412349.0,59.5,158333.0,11.2
Barasat,4,16,1388017.0,1148662.0,82.8,12160.0,1.1,4,32,1226654.0,1026860.0,83.7,122901.0,12.0,4,32,1512792.0,1269331.0,83.9,173141.0,13.6,4,32,1882204.0,1394766.0,75.1,109983.0,7.9,4,32,1905400.0,1532601.0,80.4,114189.0,7.5
Bareilly,1,2,1556024.0,822839.0,52.9,59644.0,7.2,1,4,1401423.0,705939.0,50.4,9338.0,1.3,1,2,1664081.0,1017891.0,61.2,240685.0,23.6,1,2,1760865.0,1068342.0,60.9,167282.0,15.7,1,2,1924434.0,1119558.0,58.2,34804.0,3.1
Barmer,2,2,1639188.0,1046857.0,63.9,271888.0,26.0,2,4,1441456.0,786516.0,54.6,119106.0,15.1,2,2,1677582.0,1219119.0,72.7,87461.0,7.2,2,2,2320339.0,1422271.0,62.1,323808.0,22.8,2,4,2206237.0,1688051.0,76.5,118176.0,7.0
Barpeta,15,4,1075749.0,762614.0,70.9,68125.0,8.9,15,4,1239607.0,902287.0,72.8,30429.0,3.4,15,41,1430175.0,1205863.0,84.3,42341.0,3.5,15,4,1449560.0,1458549.0,101.3,140307.0,9.6,15,62,1966847.0,1685943.0,85.7,222351.0,13.2
Barrackpore,4,10,981008.0,792471.0,80.8,165071.0,20.8,4,32,1081237.0,870792.0,80.5,56024.0,6.4,4,32,1287222.0,1051130.0,81.7,206773.0,19.7,4,2,1551157.0,1104517.0,72.0,14857.0,1.3,4,32,1508728.0,1141860.0,75.7,64438.0,5.6
Basirhat,4,17,1107129.0,906003.0,81.8,182084.0,20.1,4,32,1198579.0,1038520.0,86.7,60383.0,5.8,4,32,1490596.0,1273771.0,85.5,109659.0,8.6,4,32,1833511.0,1433339.0,78.7,350369.0,24.4,4,32,1804261.0,1523401.0,84.4,333547.0,21.9
Bastar,16,2,1039442.0,450417.0,43.3,54373.0,12.1,16,2,1193116.0,564742.0,47.3,100262.0,17.8,16,2,1298059.0,769913.0,59.3,124359.0,16.2,16,4,1357443.0,912846.0,70.3,38982.0,4.3,16,2,1472207.0,1007395.0,68.4,55245.0,5.5
Basti,1,3,1416526.0,576389.0,40.7,25374.0,4.4,1,3,1570657.0,773985.0,49.3,105210.0,13.6,1,2,1847613.0,1048534.0,56.8,33562.0,3.2,1,2,1839900.0,1054539.0,57.9,30354.0,2.9,1,1,1902898.0,1082870.0,56.9,100994.0,9.3
Beed,3,15,1319891.0,882532.0,66.9,47412.0,5.4,3,2,1637239.0,1074052.0,65.6,140952.0,13.1,3,2,1792650.0,1232202.0,68.7,136454.0,11.1,3,2,1621102.0,1352399.0,83.6,168368.0,12.4,3,61,2142547.0,1522295.0,71.1,6553.0,0.4
Begusarai,10,8,1280963.0,678647.0,53.0,20491.0,3.0,10,8,1473263.0,718408.0,48.8,40837.0,5.7,10,2,1778759.0,1077855.0,60.6,58335.0,5.4,10,2,1942769.0,1225594.0,64.1,422217.0,34.4,10,2,2196089.0,1294673.0,59.0,81480.0,6.3
Belgaum,13,2,1354182.0,892332.0,65.9,84753.0,9.5,13,2,1378238.0,754295.0,54.7,118687.0,15.7,13,2,1581017.0,1078547.0,68.2,75860.0,7.0,13,2,1749746.0,1205229.0,69.1,391304.0,32.5,13,2,1923788.0,1383889.0,71.9,178437.0,12.9
Bellary,13,2,1423161.0,949652.0,66.7,31679.0,3.3,13,2,1401258.0,860948.0,61.4,2243.0,0.3,13,2,1487945.0,1045772.0,70.3,85144.0,8.1,13,2,1713330.0,1221926.0,71.9,55707.0,4.6,13,4,1884040.0,1389914.0,73.8,98992.0,7.1
Berhampur,12,4,1195391.0,719853.0,60.2,51657.0,7.2,12,12,1207552.0,711181.0,58.9,57287.0,8.1,12,12,1334268.0,905362.0,67.9,127720.0,14.1,12,12,1433671.0,989910.0,70.1,94844.0,9.6,12,2,1591380.0,1042923.0,65.5,165476.0,15.9
Betul,14,2,1122830.0,547321.0,48.7,157540.0,28.8,14,2,1286761.0,636564.0,49.5,97317.0,15.3,14,2,1607822.0,1047719.0,65.2,328614.0,31.4,14,2,1702517.0,1357857.0,81.1,360241.0,26.5,14,2,1895331.0,1396020.0,73.7,379761.0,27.2
Bhadrak,12,12,1350755.0,931990.0,69.0,94769.0,10.2,12,12,1372356.0,929526.0,67.7,54938.0,5.9,12,12,1469498.0,1081339.0,73.6,179359.0,16.6,12,12,1583464.0,1223754.0,77.7,28803.0,2.4,12,2,1770915.0,1297377.0,73.3,91544.0,7.1
Bhagalpur,10,2,1388037.0,757266.0,54.6,117853.0,15.6,10,2,1433346.0,629032.0,43.9,55811.0,8.9,10,11,1685339.0,974016.0,57.8,9485.0,1.0,10,8,1811980.0,1042518.0,59.3,277630.0,26.6,10,8,1983031.0,1064081.0,53.7,104868.0,9.9
Bharatpur,2,2,1189295.0,575896.0,48.4,111349.0,19.3,2,4,1437111.0,560919.0,39.0,81454.0,14.5,2,2,1686897.0,962432.0,57.1,245468.0,25.5,2,2,1897465.0,1146797.0,60.7,318399.0,27.8,2,4,2114916.0,1133000.0,53.6,51983.0,4.6
Bhavnagar,7,2,1236416.0,444803.0,36.0,80426.0,18.1,7,2,1381619.0,623341.0,45.1,5893.0,0.9,7,2,1594531.0,917402.0,57.5,295488.0,32.2,7,2,1734124.0,1041279.0,61.0,329519.0,31.6,7,2,1916900.0,1047232.0,54.6,455289.0,43.5
Bhilwara,2,2,1233703.0,618965.0,50.2,60652.0,9.8,2,4,1492687.0,754956.0,50.6,135368.0,17.9,2,2,1754877.0,1104090.0,62.9,246264.0,22.3,2,2,1958631.0,1310513.0,67.8,612000.0,46.7,2,2,2147159.0,1304395.0,60.8,354606.0,27.2
Bhind,14,2,1388299.0,606013.0,43.7,6946.0,1.1,14,2,1364411.0,523783.0,38.4,18886.0,3.6,14,2,1598169.0,729084.0,45.6,159961.0,21.9,14,2,1711977.0,960687.0,56.4,199885.0,20.8,14,2,1900654.0,1049007.0,55.2,64840.0,6.2
Bhopal,14,2,1847544.0,857893.0,46.4,306005.0,35.7,14,2,1461714.0,659263.0,45.1,65157.0,9.9,14,2,1956936.0,1130182.0,57.8,370696.0,32.8,14,2,2075376.0,1407954.0,68.1,364822.0,25.9,14,2,2339411.0,1498285.0,64.1,501499.0,33.5
Bhubaneswar,12,12,1491536.0,853667.0,57.2,112279.0,13.2,12,12,1447002.0,710998.0,49.1,252760.0,35.6,12,12,1527768.0,891822.0,58.4,189477.0,21.2,12,2,1600900.0,1005215.0,63.2,23839.0,2.4,12,2,1672774.0,1082215.0,64.7,35152.0,3.2
Bidar,13,2,1372985.0,814933.0,59.4,23621.0,2.9,13,4,1470507.0,779256.0,53.0,39619.0,5.1,13,2,1600962.0,959384.0,59.9,92222.0,9.6,13,2,1740232.0,1117167.0,64.3,116834.0,10.5,13,4,1892962.0,1242322.0,65.6,128875.0,10.4
Bijapur,13,2,1328325.0,788537.0,59.4,37533.0,4.8,13,2,1373604.0,649623.0,47.3,42404.0,6.5,13,2,1622635.0,966757.0,59.6,69819.0,7.2,13,2,1777109.0,1111354.0,63.2,258038.0,23.2,13,2,1946090.0,1296114.0,66.6,77229.0,6.0
Bijnor,1,13,1355437.0,705729.0,52.1,80175.0,11.4,1,13,1287070.0,707792.0,55.0,28430.0,4.0,1,2,1562065.0,1060346.0,67.9,205774.0,19.4,1,3,1619514.0,1100763.0,68.2,69941.0,6.4,1,13,1738307.0,1024432.0,58.9,37508.0,3.7
Bikaner,2,2,1900686.0,1075059.0,56.6,57175.0,5.3,2,2,1381203.0,569941.0,41.3,19575.0,3.4,2,2,1591068.0,929751.0,58.4,308079.0,33.1,2,2,1793022.0,1099598.0,62.1,264081.0,24.0,2,2,2048399.0,1118282.0,54.6,55711.0,5.0
Bilaspur,16,2,1411786.0,621304.0,44.0,81553.0,13.1,16,2,1472793.0,770089.0,52.3,20139.0,2.6,16,2,1727325.0,1090457.0,63.1,176436.0,16.2,16,2,1811606.0,1209434.0,67.0,141763.0,11.7,16,2,2102687.0,1361350.0,64.7,164558.0,12.1
Birbhum,4,10,1029870.0,721560.0,70.1,191612.0,26.6,4,32,1221893.0,1017879.0,83.3,61519.0,6.0,4,32,1495108.0,1275819.0,85.3,67263.0,5.3,4,32,1587802.0,1449423.0,92.1,88924.0,6.1,4,32,1857022.0,1527432.0,82.3,197650.0,12.9
Bolangir,12,2,1099775.0,728372.0,66.2,100682.0,13.8,12,12,1443484.0,1011776.0,70.1,90835.0,9.0,12,12,1563025.0,1170405.0,74.9,104299.0,8.9,12,2,1677774.0,1306705.0,78.8,19516.0,1.5,12,2,1801744.0,1400248.0,77.7,132664.0,9.5
Bolpur,4,10,1035012.0,767695.0,74.2,310305.0,40.4,4,10,1307730.0,1079122.0,82.5,126882.0,11.8,4,32,1538429.0,1304756.0,84.8,236112.0,18.1,4,32,1864137.0,1461269.0,79.1,106402.0,7.3,4,32,1839234.0,1528470.0,83.1,327253.0,21.4
Bulandshahr,1,2,1226141.0,685228.0,55.9,16651.0,2.4,1,1,1482749.0,668557.0,45.1,66065.0,9.9,1,2,1736447.0,1009710.0,58.2,421973.0,41.8,1,2,1759305.0,1123629.0,64.2,290057.0,25.8,1,2,1859462.0,1054399.0,56.7,275134.0,26.1
Buldhana,3,6,1196627.0,760202.0,63.5,59907.0,7.9,3,6,1382736.0,853885.0,61.8,28078.0,3.3,3,6,1596234.0,978626.0,61.3,159579.0,16.3,3,6,1977994.0,1120359.0,57.0,133287.0,11.9,3,6,1782700.0,1109496.0,62.2,29479.0,2.7
Buxar,10,2,1222441.0,649116.0,53.1,54866.0,8.5,10,11,1340892.0,623629.0,46.5,2238.0,0.4,10,2,1640567.0,888204.0,54.1,132338.0,14.9,10,2,1806004.0,986861.0,55.6,117609.0,11.9,10,11,1923164.0,1073759.0,55.8,30091.0,2.8
Chamarajanagar,13,18,1189973.0,852745.0,71.7,43989.0,5.2,13,4,1433825.0,973651.0,67.9,4002.0,0.4,13,4,1555779.0,1133029.0,72.8,141182.0,12.5,13,2,1669209.0,1270658.0,76.9,1817.0,0.1,13,4,1778310.0,1369797.0,77.0,188706.0,13.8
Chandauli,1,3,1580853.0,704386.0,44.6,1669.0,0.2,1,1,1446259.0,670998.0,46.4,459.0,0.1,1,2,1669140.0,980572.0,58.8,156756.0,16.0,1,2,1696059.0,1084961.0,64.6,13959.0,1.3,1,1,1843196.0,1116499.0,60.6,21565.0,1.9
Chandigarh,17,4,527684.0,269818.0,51.1,45248.0,16.8,17,4,524444.0,343579.0,65.5,58967.0,17.2,17,2,615214.0,453455.0,73.7,69642.0,15.4,17,2,615214.0,456568.0,74.9,46970.0,10.3,17,4,659805.0,449275.0,68.1,2504.0,0.6
Chandni Chowk,18,4,337462.0,179003.0,53.0,79415.0,44.4,18,4,1413535.0,780507.0,55.2,200710.0,25.7,18,2,1447228.0,981863.0,67.8,136320.0,13.9,18,2,1447228.0,980390.0,68.1,228145.0,23.3,18,2,1645958.0,966102.0,58.7,89325.0,9.2
Chandrapur,3,2,1329746.0,840271.0,63.2,59823.0,7.1,3,2,1536352.0,898509.0,58.5,32495.0,3.6,3,2,1753690.0,1109743.0,63.3,236269.0,21.3,3,4,1846431.0,1238474.0,67.7,44763.0,3.6,3,4,1837906.0,1241304.0,67.5,260406.0,21.0
Chatra,19,11,978364.0,435488.0,44.5,18855.0,4.3,19,7,1037665.0,473936.0,45.7,16178.0,3.4,19,2,1312545.0,712971.0,54.3,178026.0,25.0,19,2,1375612.0,925937.0,67.9,377871.0,40.8,19,2,1689926.0,1086374.0,64.3,220959.0,20.3
Chhindwara,14,4,1145107.0,752439.0,65.7,63708.0,8.5,14,4,1154249.0,829304.0,71.9,121220.0,14.6,14,4,1401277.0,1107498.0,79.0,116537.0,10.5,14,4,1480503.0,1248031.0,85.7,37536.0,3.0,14,2,1632190.0,1304827.0,79.9,113618.0,8.7
Chhota Udaipur,7,4,1065416.0,556493.0,52.2,36239.0,6.5,7,2,1412306.0,765220.0,54.2,26998.0,3.5,7,2,1536305.0,1100542.0,71.6,179729.0,16.3,7,2,1433397.0,1232459.0,88.3,377943.0,30.7,7,2,1821708.0,1267719.0,69.6,398777.0,31.5
Chidambaram,9,9,1125487.0,741925.0,65.9,87651.0,11.8,9,34,1126828.0,869428.0,77.2,99083.0,11.4,9,36,1366189.0,1088423.0,79.7,128495.0,11.8,9,34,1459769.0,1153192.0,80.1,3219.0,0.3,9,34,1519847.0,1167071.0,76.8,103554.0,8.9
Chikkodi,13,2,1184275.0,836452.0,70.6,43492.0,5.2,13,2,1284427.0,868001.0,67.6,55287.0,6.4,13,4,1442296.0,1071103.0,74.3,3003.0,0.3,13,2,1574203.0,1217549.0,78.0,118877.0,9.8,13,4,1761694.0,1393093.0,79.1,90834.0,6.5
Chitradurga,13,4,1316427.0,917046.0,69.7,37460.0,4.1,13,2,1534169.0,836390.0,54.5,135571.0,16.2,13,4,1661272.0,1096499.0,66.0,101291.0,9.2,13,2,1736643.0,1245950.0,72.0,80178.0,6.4,13,2,1856876.0,1366909.0,73.6,48121.0,3.5
Chittorgarh,2,2,1385950.0,670995.0,48.4,135770.0,20.2,2,4,1601444.0,795308.0,49.7,72778.0,9.2,2,2,1818147.0,1172629.0,64.5,316857.0,27.0,2,2,1982095.0,1458760.0,74.5,576247.0,39.5,2,2,2170167.0,1498733.0,69.1,389877.0,26.0
Churu,2,2,1371821.0,832555.0,60.7,29854.0,3.6,2,2,1532266.0,802665.0,52.4,12440.0,1.5,2,2,1753825.0,1131104.0,64.5,294739.0,26.1,2,2,1962475.0,1328422.0,68.2,334402.0,25.2,2,4,2213187.0,1424645.0,64.4,72737.0,5.1
Coimbatore,9,17,1584223.0,877688.0,55.4,164505.0,18.7,9,10,1163781.0,825118.0,70.9,38664.0,4.7,9,36,1720211.0,1176620.0,68.4,42016.0,3.6,9,51,1909712.0,1250885.0,66.7,179143.0,14.3,9,58,2106124.0,1372833.0,65.2,118068.0,8.6
Cooch Behar,4,16,1148934.0,947381.0,82.5,226569.0,23.9,4,16,1329086.0,1122253.0,84.4,33749.0,3.0,4,32,1613417.0,1332409.0,82.6,87107.0,6.5,4,2,1687773.0,1524683.0,91.2,54231.0,3.6,4,32,1966893.0,1623048.0,82.5,39250.0,2.4
Cuddalore,9,19,1206876.0,758178.0,62.8,131352.0,17.3,9,4,986030.0,750000.0,76.1,23532.0,3.1,9,36,1247908.0,984538.0,78.9,203125.0,20.6,9,19,1342320.0,1043202.0,78.4,143983.0,13.8,9,4,1412746.0,1031563.0,73.0,185896.0,18.0
Cuttack,12,12,1236228.0,820082.0,66.3,173198.0,21.1,12,12,1283576.0,813330.0,63.4,236292.0,29.1,12,12,1371617.0,978604.0,71.4,306762.0,31.3,12,12,1460895.0,1059490.0,73.0,121201.0,11.4,12,2,1571622.0,1120795.0,71.3,57077.0,5.1
Dahod,7,2,1212453.0,517809.0,42.7,361.0,0.1,7,4,1194821.0,534414.0,44.7,58536.0,11.0,7,2,1411765.0,900381.0,63.8,230354.0,25.6,7,2,1542941.0,1063212.0,71.0,127596.0,12.0,7,2,1875136.0,1118294.0,59.6,333677.0,29.8
Damoh,14,2,1398539.0,591038.0,42.3,94595.0,16.0,14,2,1357985.0,599295.0,44.1,70877.0,11.8,14,2,1651106.0,912080.0,55.2,213299.0,23.4,14,2,1737702.0,1164226.0,67.4,353411.0,30.4,14,2,1925314.0,1088944.0,56.6,406426.0,37.3
Darbhanga,10,11,1202456.0,764102.0,63.6,143463.0,18.8,10,2,1307067.0,545726.0,41.8,46453.0,8.5,10,2,1495446.0,828342.0,55.4,35043.0,4.2,10,2,1644671.0,964996.0,59.9,267979.0,27.8,10,2,1781356.0,1024184.0,57.5,178156.0,17.4
Darjeeling,4,4,1249238.0,886298.0,71.0,101416.0,11.4,4,2,1215464.0,967400.0,79.6,253289.0,26.2,4,2,1437126.0,1142009.0,79.5,197239.0,17.3,4,2,1519531.0,1267270.0,84.1,413443.0,32.6,4,2,1765744.0,1327412.0,75.2,178525.0,13.4
Dausa,2,4,1462752.0,715613.0,48.9,114865.0,16.1,2,7,1315810.0,841583.0,64.0,137759.0,16.4,2,2,1524095.0,930492.0,61.1,45404.0,4.9,2,2,1692217.0,1062834.0,63.2,78444.0,7.4,2,4,1899304.0,1072734.0,56.5,237340.0,22.1
Deoria,1,1,1569719.0,730406.0,46.5,52226.0,7.2,1,3,1580745.0,715579.0,45.3,41779.0,5.8,1,2,1806926.0,971557.0,53.8,265386.0,27.3,1,2,1751752.0,1015363.0,58.7,249931.0,24.6,1,2,1873821.0,1043308.0,55.7,34842.0,3.3
Dhanbad,19,4,1749456.0,941715.0,53.8,119378.0,12.7,19,2,1806475.0,813521.0,45.0,58047.0,7.1,19,2,1889994.0,1143902.0,60.5,292954.0,25.6,19,2,2050314.0,1252817.0,61.3,486194.0,38.8,19,2,2285237.0,1428007.0,62.5,331583.0,23.2
Dhar,14,2,1325680.0,702989.0,53.0,32611.0,4.6,14,4,1197172.0,654832.0,54.7,2661.0,0.4,14,2,1668441.0,1076816.0,64.5,104328.0,9.7,14,2,1752846.0,1344132.0,77.7,156029.0,11.6,14,2,1953834.0,1425044.0,72.9,218665.0,15.3
Dharmapuri,9,9,1295521.0,707804.0,54.6,216090.0,30.5,9,19,1069601.0,778634.0,72.8,135942.0,17.5,9,9,1358273.0,1101345.0,81.1,77146.0,7.0,9,19,1453257.0,1223205.0,85.1,70753.0,5.8,9,58,1524896.0,1247832.0,81.8,21300.0,1.7
Dhenkanal,12,12,1174787.0,790179.0,67.3,122882.0,15.6,12,12,1283608.0,856631.0,66.7,186587.0,21.8,12,12,1363467.0,1042101.0,76.4,137340.0,13.2,12,12,1461182.0,1131522.0,78.2,35412.0,3.1,12,2,1529785.0,1191673.0,77.9,76567.0,6.4
Dhubri,15,4,1149939.0,863463.0,75.1,116622.0,13.5,15,35,1371949.0,1046985.0,76.3,184419.0,17.6,15,41,1552554.0,1369624.0,88.2,229730.0,16.8,15,41,1799561.0,1685005.0,94.1,226258.0,13.4,15,4,2660827.0,2453608.0,92.2,1012476.0,41.3
Dhule,3,4,1226114.0,455308.0,37.1,7765.0,1.7,3,2,1575227.0,670487.0,42.6,19419.0,2.9,3,2,1674469.0,983083.0,58.7,130723.0,13.3,3,2,1787801.0,1085038.0,60.8,229243.0,21.1,3,4,2022061.0,1219295.0,60.3,3831.0,0.3
Dibrugarh,15,20,969905.0,631416.0,65.1,18554.0,2.9,15,4,1114965.0,750734.0,67.3,35143.0,4.7,15,2,1124305.0,890968.0,79.3,185347.0,20.8,15,2,1265748.0,1015748.0,81.9,364566.0,35.9,15,2,1659588.0,1278322.0,77.0,279321.0,21.9
Dindigul,9,4,1137313.0,688646.0,60.6,155171.0,22.5,9,4,1085696.0,821253.0,75.6,54347.0,6.6,9,36,1400531.0,1083364.0,77.4,127845.0,11.8,9,19,1518633.0,1160046.0,77.3,538972.0,46.5,9,51,1607051.0,1149621.0,71.5,443821.0,38.6
